WKT,id,name,alt_name,latitude,longitude
"POINT (106.8221867 -6.14977)",31.0,DKI JAKARTA,DKI JAKARTA,-6.14977,106.8221867
"POINT (107.64047 -6.88917)",32.0,JAWA BARAT,JAWA BARAT,-6.88917,107.64047
"POINT (110.1472775 -7.0851716)",33.0,JAWA TENGAH,JAWA TENGAH,-7.0851716,110.1472775
"POINT (112.2111285 -7.4916922)",35.0,JAWA TIMUR,JAWA TIMUR,-7.4916922,112.2111285
